Name,Hometown,High School
Zeb Speir,"Sylva, N.C.",Smoky Mountain
Corey Sutton,"Charlotte, N.C.",Mallard Creek
Darrynton Evans,"Oak Hill, Fla.",New Smyrna Beach
Clifton Duck,"Matthews, N.C.",Butler
Dominique Heath,"Huntersville, N.C.",Hopewell
Thomas Hennigan,"Greensboro, N.C.",Northwest Guilford
Desmond Franklin,"Inverness, Fla.",Citrus
Camerun Peoples,"Lineville, Ala.",Clay Central
Jacob Huesman,"Bradenton, Fla.",Braden River
Josh Thomas,"Montgomery, Ala.",Montgomery Academy
Shemar Jean-Charles,"Miramar, Fla.",Miramar
Austin Exford,"Snellville, Ga.",Shiloh
Jackson Gibbs,"Davidson, N.C.",Hough
Tim Frizzell,"Knoxville, Tenn.",Hardin Valley Academy
Tanner Wilson,"Reidsville, N.C.",Reidsville
Jeremy Level,"Greensboro, N.C.",Page
Jalen Virgil,"Lawrenceville, Ga.",Mountain View
Steven Jones Jr.,"Rockingham, N.C.",Richmond Senior
Zac Thomas,"Trussville, Ala.",Hewitt-Trussville
Peyton Derrick,"Conway, S.C.",Conway
Kaiden Smith,"Lawrenceville, Ga.",Mountain View
Malik Williams,"Chester, S.C.",Chester Senior
Mock Adams,"Greenwood, S.C.",Greenwood
Shaun Jolly,"Stone Mountain, Ga.",Stephenson
Tae Hayes,"Decatur, Ala.",Decatur
Trevion McCollum,"Burlington, N.C.",Western Alamance
Brad Absher,"Troy, N.C.",West Montgomery
Daetrich Harrington,"Douglasville, Ga.",Alexander
Mike Price,"Stockbridge, Ga.",Stockbridge
Noel Cook,"Reidsville, N.C.",Reidsville
A'Darius Purifoy,"Pensacola, Fla.",West Florida Tech
Ryan Huff,"Athens, Ga.",Cedar Shoals
Dysaun Razzak,"Winston-Salem, N.C.",Glenn
Jace Frisbee,"Brevard, N.C.",Brevard
D'Andre Hicks,"Punta Gorda, Fla.",Charlotte
Akeem Davis-Gaither,"Thomasville, N.C.",Thomasville
Kaleb Dawson,"Moultrie, Ga.",Colquitt County
Jalin Moore,"Shelby, N.C.",Crest
Matthew McQuinn,"Fort Myers, Fla.",Fort Myers
Marcus Williams Jr.,"Rocky Mount, N.C.",Southwest Edgecombe
A.J. Beach,"Smyrna, Ga.",Milton
DeMarcus Harper,"Asheville, N.C.",Owen
Jay Person,"Cleveland, Tenn.",Bradley Central
John Gliarmis,"Wilson, N.C.",Fike
Zareon Hayes,"Dillon, S.C.",Dillon
Clayton Howell,"High Point, N.C.",High Point Central
Nick Hampton,"Anderson, S.C.",Westside
Jordan Mitchell,"Beulaville, N.C.",East Duplin
Miller Gibbs,"Davidson, N.C.",Hough
Brock Mattison,"Duluth, Ga.",Buford
Tanner Ellenberger,"Brevard, N.C.",Brevard
Zion Madden,"High Point, N.C.",Southwest Guilford
Xavier Subotsch,"Melbourne, Australia",Haileyburg
Logan Doublin,"Clearwater, Fla.",Largo
Michael Rubino,"Apex, N.C.",Middle Creek
Harrison Taylor,"McDonough, Ga.",Eagle's Landing Christian Academy
Hansky Paillant,"Miami, Fla.",McArthur
Anthony Flory,"Miramar, Fla.",American Heritage
Trey Cobb,"Waycross, Ga.",Ware County
Chris Washington,"Newberry, Fla.",Newberry
Okon Godwin,"Covington, Ga.",Alcovy
Demetrius Taylor,"Miami, Fla.",Northwestern
Blythe Hall,"Greensboro, N.C.",Southeast Guilford
Keaton Forbes,"Sanford, N.C.",Lee County
Tyler Bird,"Acworth, Ga.",North Paulding
Baer Hunter,"Clemmons, N.C.",West Forsyth
Tobias Edge-Campbell,"Raeford, N.C.",Hoke County
D'Marco Jackson,"Spartanburg, S.C.",Broome
Max Durschlag,"Charlotte, N.C.",Mallard Creek
Matt Williams,"Lehigh Acres, Fla.",Lehigh
Nate Haskins,"Orlando, Fla.",Boone
Elijah Diarrassouba,"Greensboro, N.C.",Page
Ryan Neuzil,"Bradenton, Fla.",Braden River
Jordan Fehr,"Charlotte, N.C.",Providence
Noah Hannon,"Greer, S.C.",Greer
Weston Gillespie,"Travelers Rest, S.C.",Travelers Rest
Ivan Reyes,"Hickory, N.C.",St. Stephens
Will Hardin,"Greensboro, N.C.",Page
Gage Blackston,"Savannah, Ga.",Benedictine Military
Will Israel,"Asheville, N.C.",A.C. Reynolds
Logan Wright,"Kernersville, N.C.",East Forsyth
Brody Barrett,"San Juan Capistrano, Calif.",JSerra Catholic
Cooper Hodges,"Glen St. Mary, Fla.",Baker County
Cole Garrison,"Pinson, Ala.",Clay-Chalkville
Anderson Hardy,"Raleigh, N.C.",Sanderson
Victor Johnson,"North Augusta, S.C.",North Augusta
Josh Headlee,"Boone, N.C.",Watauga
Chandler Greer,"Knoxville, Tenn.",Bearden
Luke Burnette,"Monroe, N.C.",Sun Valley
AJ Hall,"Kernersville, N.C.",East Forsyth
Braden Collins,"Knoxville, Tenn.",Farragut
Richard Tucker,"Campobello, S.C.",Chapman
Jake Henry,"Cantonment, Fla.",J.M. Tate
Mike Evans,"Jacksonville, N.C.",White Oak
Joe Hartung,"Greenwood, S.C.",Greenwood
Michael Queen,"Apex, N.C.",Northwood
Trey Ross,"Sophia, N.C.",Randleman
Collin Reed,"Boiling Springs, S.C.",Boiling Springs
Cameron Pack,"Mount Airy, N.C.",Mount Airy
Henry Pearson,"Ho-Ho-Kus, N.J.",Paramus Catholic
Devin Papenheim,"Bushnell, Fla.",South Sumter
Dorian Pickett,"Beulaville, N.C.",East Duplin
Chris Willis,"Shelby, N.C.",Crest
Tommy Dawkins Jr.,"Concord, N.C.",Cox Mill
Chandler Staton,"Gainesville, Ga.",Gainesville
MyQuon Stout,"Salisbury, N.C.",Jesse C. Carson
Elias McMurry,"Statesville, N.C.",Statesville
Josh Houser,"Boonville, N.C.",Starmount
George Blackstock,"Eden, N.C.",Eden Morehead
Markell Clark,"Dacula, Ga.",Spain Park
Caleb Spurlin,"Galax, Va.",Galax
E.J. Scott,"Farmville, N.C.",Farmville Central
Jordon Earle,"West Palm Beach, Fla.",Forest Hill
