Name,Hometown,High School
Ben Davis,"Gordo, Ala.",Gordo
Keilan Robinson,"Washington, D.C.",St. John's
Patrick Surtain II,"Plantation, Fla.",American Heritage
Xavier Williams,"Hollywood, Fla.",Chaminade-Madonna Prep
Daniel Wright,"Fort Lauderdale, Fla.",Boyd Anderson
Christopher Allen,"Baton Rouge, La.",Southern Lab School
Brian Robinson Jr.,"Tuscaloosa, Ala.",Hillcrest
Jalyn Armour-Davis,"Mobile, Ala.",St. Paul’s
Javon Baker,"Atlanta, Ga.",McEachern
DeVonta Smith,"Amite, La.",Amite
Braxton Barker,"Birmingham, Ala.",Spain Park
Brandon Turnage,"Oxford, Miss.",Lafayette
Christian Harris,"Baton Rouge, La.",University Lab
John Metchie III,"Brampton, Canada",St. James School (Md.)
Jordan Battle,"Fort Lauderdale, Fla.",St. Thomas Aquinas
Bryce Young,"Pasadena, Calif.",Mater Dei
Mac Jones,"Jacksonville, Fla.",The Bolles School
Ale Kaho,"Reno, Nev.",Reno
Traeshon Holden,"Kissimmee, Fla.",Narbonne
Kristian Story,"Lanett, Ala.",Lanett
Logan Burnett,"Pelham, Ala.",Bessemer Academy
Skyler DeLong,"Fort Mill, S.C.",Nation Ford
Malachi Moore,"Trussville, Ala.",Hewitt-Trussville
Brian Branch,"Fayetteville, Ga.",Sandy Creek
Thaiu Jones-Bell,"Hallandale, Fla.",Miami Carol City
Eddie Smith,"Slidell, La.",Salmen
Paul Tyson,"Trussville, Ala.",Hewitt-Trussville
Jayden George,"Indianapolis, Ind.",Warren Central
Will Reichard,"Hoover, Ala.",Hoover
Jaylen Waddle,"Houston, Texas",Episcopal
Slade Bolden,"West Monroe, La.",West Monroe
LaBryan Ray,"Madison, Ala.",James Clemens
Jahleel Billingsley,"Chicago, Ill.",Phillips Academy
Stone Hollenbach,"Catawissa, Pa.",Southern Columbia
Drew Sanders,"Denton, Texas",Ryan
Jase McClellan,"Aledo, Texas",Aledo
Jahquez Robinson,"Jacksonville, Fla.",Sandalwood
Najee Harris,"Antioch, Calif.",Antioch
Ronald Williams Jr.,"Ferriday, La.",Ferriday
Jarez Parks,"Fellsmere, Fla.",Sebastian River
Roydell Williams,"Hueytown, Ala.",Hueytown
Clark Griffin,"Mountain Brook, Ala.",Mountain Brook
Trey Sanders,"Port Saint Joe, Fla.",IMG Academy
Jonathan Bennett,"Birmingham, Ala.",Oak Mountain
DJ Douglas,"Montgomery, Ala.",Thompson
Jacobi McBride,"Madison, Ala.",Madison Academy
Marcus Banks,"Houston, Texas",Dekaney
Kyle Edwards,"Destrehan, La.",Destrehan
Joshua Robinson,"Hoover, Ala.",Hoover
Josh Jobe,"Miami, Fla.",Cheshire Academy (Conn.)
DeMarcco Hellams,"Washington, D.C.",DeMatha Catholic
King Mwikuta,"West Point, Ga.",Troup County
Will Anderson Jr.,"Hampton, Ga.",Dutchtown
Shatarius Williams,"Demopolis, Ala.",Demopolis
Dylan Moses,"Alexandria, La.",IMG Academy
C.J. Williams,"Gallion, Ala.",Demopolis
Jackson Bratton,"Muscle Shoals, Ala.",Muscle Shoals
Que Robinson,"Birmingham, Ala.",Jackson-Olin
Cooper Bishop,"Vestavia Hills, Ala.",Vestavia Hills
Shane Lee,"Burtonsville, Md.",St. Frances Academy
Bret Bolin,"Lemont, Ill.",Lemont
Demouy Kennedy,"Theodore, Ala.",Theodore
Sam Willoughby,"Vestavia Hills, Ala.",Vestavia Hills
Jalen Edwards,"Columbus, Miss.",Eufaula
Carson Ware,"Muscle Shoals, Ala.",Muscle Shoals
Joshua McMillon,"Memphis, Tenn.",Whitehaven
Chris Braswell,"Baltimore, Md.",Saint Frances Academy
Jaylen Moody,"Conway, S.C.",Conway
Sam Reed,"Mountain Brook, Ala.",Mountain Brook
